CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,T,nin,ACO2,AH2,AT,objective1,objective2
0.054335920730246484,0.3036741228280905,0.49198995644166305,0.0,0.0,0.0,0.005,1.0,0.15,453.1501837102798,0.022109490840385177,0.0,0.0,0.0,0.0030795875879491568,0.38906181529246175
0.05345899549224573,0.29643841201029,0.5001025924974644,0.0,0.0,0.0,0.005,1.0,0.15,453.15003542696485,0.022109490840385177,0.0,0.0,0.0,0.0030780792649955026,0.3978875345872705
0.05256759337308812,0.28922583531949897,0.5082065713074131,0.0,0.0,0.0,0.005,1.0,0.15,453.150045589424,0.022109490840385177,0.0,0.0,0.0,0.0030734819346053396,0.40671315027723903
0.05165885339884185,0.28202476981836516,0.5163163767827931,0.0,0.0,0.0,0.005,1.0,0.15,453.15006613272396,0.022109490840385177,0.0,0.0,0.0,0.0030656686042881635,0.4155387914962054
0.05073085773895505,0.27482105864044104,0.524448083620604,0.0,0.0,0.0,0.005,1.0,0.15,453.150128652484,0.022109490840385177,0.0,0.0,0.0,0.0030544848909434008,0.4243644390810457
0.049782036506052736,0.2675981675115322,0.5326197959824152,0.0,0.0,0.0,0.005,1.0,0.15,453.19934608014336,0.022109490840385177,0.0,0.0,0.0,0.0030397445487597855,0.43319008920408725
0.04886034039264361,0.26036695381738845,0.540772705789968,0.0,0.0,0.0,0.005,1.0,0.15,455.50002642896567,0.022109490840385177,0.0,0.0,0.0,0.003022006767247225,0.4420168964249366
0.0478975301619218,0.253263022086751,0.5488394477513272,0.0,0.0,0.0,0.005,1.0,0.15,457.6955407900174,0.022109490840385177,0.0,0.0,0.0,0.003001930340570995,0.4508413941553887
0.046948154180301155,0.24622176626032227,0.5568300795593766,0.0,0.0,0.0,0.005,1.0,0.15,459.87633892959667,0.022109490840385177,0.0,0.0,0.0,0.0029794931872194606,0.4596679735913239
0.04596607349337232,0.23928304493674146,0.5647508815698863,0.0,0.0,0.0,0.005,1.0,0.15,461.9594275466613,0.022109490840385177,0.0,0.0,0.0,0.0029546541950301423,0.46849354049262815
0.04496288543111764,0.23242441186396162,0.5726127027049208,0.0,0.0,0.0,0.005,1.0,0.15,463.96452405000366,0.022109490840385177,0.0,0.0,0.0,0.002927346569661862,0.4773191201150522
0.04393687204577266,0.225636894936358,0.5804262330178693,0.0,0.0,0.0,0.005,1.0,0.15,465.8970912738763,0.022109490840385177,0.0,0.0,0.0,0.0028974899135720935,0.48614470969682255
0.04288707258053245,0.21891033267638932,0.5882025947430783,0.0,0.0,0.0,0.005,1.0,0.15,467.76697989923906,0.022109490840385177,0.0,0.0,0.0,0.0028649907623535626,0.4949703072556028
0.04181309858424965,0.21223377631114704,0.5959531251046034,0.0,0.0,0.0,0.005,1.0,0.15,469.5863362418118,0.022109490840385177,0.0,0.0,0.0,0.002829744580145366,0.5037959113321141
0.04071498584443333,0.2055962396644644,0.6036887744911024,0.0,0.0,0.0,0.005,1.0,0.15,471.3676415722691,0.022109490840385177,0.0,0.0,0.0,0.002791641528780253,0.5126213664520636
0.0395929043882779,0.1989848724727227,0.6114222231389994,0.0,0.0,0.0,0.005,1.0,0.15,473.1248518827131,0.022109490840385177,0.0,0.0,0.0,0.002750546078331701,0.521447027521829
0.03844724110676569,0.19238845689536527,0.6191643019978691,0.0,0.0,0.0,0.005,1.0,0.15,474.8695130967453,0.022109490840385177,0.0,0.0,0.0,0.002706331307976141,0.5302726749469528
0.03727842036726522,0.18579476212301418,0.6269268175097207,0.0,0.0,0.0,0.005,1.0,0.15,476.6130971338708,0.022109490840385177,0.0,0.0,0.0,0.002658851479962192,0.5390983149137121
0.03608687885489577,0.17919131528183557,0.6347218058632687,0.0,0.0,0.0,0.005,1.0,0.15,478.3662517665152,0.022109490840385177,0.0,0.0,0.0,0.0026079488403399596,0.5479239507590392
0.03487303655437292,0.1725653099860495,0.6425616534595776,0.0,0.0,0.0,0.005,1.0,0.15,480.13886032787343,0.022109490840385177,0.0,0.0,0.0,0.0025534519245817722,0.5567495851933508
0.033637285643310935,0.1659034895457688,0.6504592248109204,0.0,0.0,0.0,0.005,1.0,0.15,481.9401357384366,0.022109490840385177,0.0,0.0,0.0,0.0024951736051299005,0.5655752175872092
0.03237998170832123,0.15919200186919177,0.658428016422487,0.0,0.0,0.0,0.005,1.0,0.15,483.7787393235195,0.022109490840385177,0.0,0.0,0.0,0.002432908691296579,0.5744008481529698
0.031101411719756993,0.15241619370290005,0.6664823945773429,0.0,0.0,0.0,0.005,1.0,0.15,485.66292494907856,0.022109490840385177,0.0,0.0,0.0,0.002366430408121184,0.5832265179682284
0.02980192276792138,0.14556062069797146,0.6746374565341072,0.0,0.0,0.0,0.005,1.0,0.15,487.6004260248181,0.022109490840385177,0.0,0.0,0.0,0.0022954905682176963,0.592052113051787
0.028481638189984327,0.13860836823156591,0.6829099935784497,0.0,0.0,0.0,0.005,1.0,0.15,489.5989308547329,0.022109490840385177,0.0,0.0,0.0,0.0022198076188085984,0.6008777470382433
0.02714071032561539,0.13154117974693794,0.6913181099274467,0.0,0.0,0.0,0.005,1.0,0.15,491.6657383527048,0.022109490840385177,0.0,0.0,0.0,0.0021390685869125733,0.6097033818052506
0.025779153563872746,0.12433885120371126,0.699881995232416,0.0,0.0,0.0,0.005,1.0,0.15,493.80798504811366,0.022109490840385177,0.0,0.0,0.0,0.0020529180037878987,0.6185290171612935
0.024396824553286973,0.11697877502346198,0.7086244004232511,0.0,0.0,0.0,0.005,1.0,0.15,496.0326048046891,0.022109490840385177,0.0,0.0,0.0,0.0019609491161284914,0.6273546528983645
0.022993353502223847,0.10943529413679635,0.7175713523609799,0.0,0.0,0.0,0.005,1.0,0.15,498.34629164004934,0.022109490840385177,0.0,0.0,0.0,0.0018626913347851099,0.6361802886719256
0.021568047241747573,0.10167887083649849,0.7267530819217539,0.0,0.0,0.0,0.005,1.0,0.15,500.7554164207377,0.022109490840385177,0.0,0.0,0.0,0.0017575938049153796,0.6450059244954638
0.020119758620983894,0.09367504688215005,0.7362051944968662,0.0,0.0,0.0,0.005,1.0,0.15,503.2658815501061,0.022109490840385177,0.0,0.0,0.0,0.0016450043811504218,0.6538315598613036
0.018646718584389273,0.08538321588925138,0.7459700655263595,0.0,0.0,0.0,0.005,1.0,0.15,505.88291198439555,0.022109490840385177,0.0,0.0,0.0,0.0015241439400111043,0.6626571943885822
0.01714633851714082,0.07675537936797423,0.756098282114885,0.0,0.0,0.0,0.005,1.0,0.15,508.6108080201369,0.022109490840385177,0.0,0.0,0.0,0.0013940783717511,0.6714828276254786
0.01561501007603832,0.06773540192601597,0.7666495879979458,0.0,0.0,0.0,0.005,1.0,0.15,511.45281276539407,0.022109490840385177,0.0,0.0,0.0,0.0012536963550213586,0.6803084589187388
0.014047965032463076,0.058260035713201146,0.7776919992543359,0.0,0.0,0.0,0.005,1.0,0.15,514.411589639906,0.022109490840385177,0.0,0.0,0.0,0.0011017138968592074,0.6891340874135178
0.012439289128541614,0.04826442846101872,0.7892962824104397,0.0,0.0,0.0,0.005,1.0,0.15,517.4916568499068,0.022109490840385177,0.0,0.0,0.0,0.000936751473178931,0.6979597118531045
0.010782117753094936,0.03769735837203587,0.8015205238748692,0.0,0.0,0.0,0.005,1.0,0.15,520.7070418411375,0.022109490840385177,0.0,0.0,0.0,0.0007575726234495014,0.7067854697794249
0.009069439144925431,0.026561097744968055,0.8143694631101065,0.0,0.0,0.0,0.005,1.0,0.15,524.1000119919122,0.022109490840385177,0.0,0.0,0.0,0.0005637391359741661,0.7156111154073442
0.007299914887572401,0.015065108058182173,0.8276349770542455,0.0,0.0,0.0,0.005,1.0,0.15,527.7688867680588,0.022109490840385177,0.0,0.0,0.0,0.00035821896311523686,0.7244367658551126
0.005463437971814161,0.004536557797240867,0.8400000042309451,0.0,0.0,0.0,0.005,1.0,0.15,531.7772182200953,0.022109490840385177,0.0,0.0,0.0,0.00016212049766509015,0.7332623235324819
